avg_precision,c1_avg_precision,c2_avg_precision,Baseline,Param_setting
0.3867437200413196,,,2,NA
0.6547124658799034,,,3,NA
0.522478143255782,0.5819630963781636,0.3938669671821065,6,NA
0.38107302142673566,,,4,0.0001
0.3549443316141831,,,4,0.001
0.29829362573316304,,,4,0.01
0.2317463297204628,,,4,0.1
0.2838546156531715,,,4,0.0
0.21038789556207035,,,4,1.0
0.23887085036659475,,,4,10.0
0.24697465641009195,,,4,20.0
0.2538748013835972,,,4,50.0
0.2563822918452191,,,4,100.0
0.3220799077973829,,,5,0.001
0.4039740874247041,,,5,0.01
0.41785826558009764,,,5,0.1
0.44683997457612024,,,5,1.0
0.48982554217789626,,,5,10
0.4890669712446889,,,5,15
0.5040918906432195,,,5,20
0.5104842155229494,,,5,50
0.5193740888317577,,,5,100
0.5220745467989584,,,5,500
0.5182015086327295,0.5953765180681313,0.39116765058355846,7,0.001
0.5230863226128658,0.5704242765944195,0.3959897332205156,7,0.01
0.5186550539072765,0.5583105278412114,0.4002949541684771,7,0.1
0.5109883512976943,0.5423008527572708,0.40653652604425716,7,1.0
0.5087984045831372,0.5284842042400761,0.4328027432775353,7,10
0.5132010878475427,0.5292948148220511,0.4409500972653489,7,15
0.5107292265954546,0.5271016847566191,0.44368416933846133,7,20
0.50767122889218,0.519917760390886,0.4435894302412664,7,50
0.5023745526864546,0.5144540020801703,0.4390773510558064,7,100
0.498204587681582,0.5026813810606433,0.4605836507548892,7,500
