avg_precision,c1_avg_precision,c2_avg_precision,avg_entropy,c1_avg_entropy,c2_avg_entropy,avg_stance,Baseline,Param_setting
0.35220091166355905,,,0.9726959506645956,,,[0.5666 0.4334],2,NA
0.674577625564856,,,0.9676533375770475,,,[0.4003 0.5997],3,NA
0.5874728480835946,0.6809083789265477,0.2505833026901182,0.9956016921625431,0.9738839272360891,0.894306814922357,[0.4836 0.5164],6,NA
0.33969632585362775,,,0.9566225038926564,,,[0.6021 0.3979],4,0.0001
0.3262464340016522,,,0.9577637964248086,,,[0.5979 0.4021],4,0.001
0.2864527348901499,,,0.9219617716873404,,,[0.6429 0.3571],4,0.01
0.2379977466633864,,,0.8408533666407061,,,[0.7163 0.2837],4,0.1
0.25229730578103565,,,0.8739930459190549,,,[0.6924 0.3076],4,0.0
0.2334273710366624,,,0.8219590712554903,,,[0.7298 0.2702],4,1.0
0.27605728641108646,,,0.8615707819490579,,,[0.6997 0.3003],4,10.0
0.28687823952434754,,,0.874401848661433,,,[0.6891 0.3109],4,20.0
0.2958438520571091,,,0.8840954303997001,,,[0.6807 0.3193],4,50.0
0.30007149638906844,,,0.8890567974017388,,,[0.6758 0.3242],4,100.0
0.2638582224065573,,,0.8788107657682347,,,[0.6865 0.3135],5,0.001
0.3368951070786998,,,0.9683168366043908,,,[0.5788 0.4212],5,0.01
0.34808629017543874,,,0.9622133065276108,,,[0.5794 0.4206],5,0.1
0.39508629969341075,,,0.9798286756273707,,,[0.5393 0.4607],5,1.0
0.46387742637282087,,,0.9910540756049981,,,[0.4956 0.5044],5,10
0.466251342239135,,,0.991440863493481,,,[0.4954 0.5046],5,15
0.47677590457724656,,,0.9899955612808051,,,[0.4842 0.5158],5,20
0.4968192260902204,,,0.9889617734230204,,,[0.4757 0.5243],5,50
0.5042370461851031,,,0.9884899582758128,,,[0.466 0.534],5,100
0.5195675087668321,,,0.9878157621634539,,,[0.468 0.532],5,500
0.587070833357928,0.7068662566018709,0.27236433958206296,0.995229887117414,0.9639829057837238,0.8939344392831069,[0.4818 0.5182],7,0.001
0.5946634218445777,0.6645047668018852,0.2668535757824791,0.9966925685874108,0.9839758681724018,0.9031614799494869,[0.4882 0.5118],7,0.01
0.5706269426699568,0.6318545459498214,0.2943445996022559,0.9968196432264989,0.9878603348647007,0.9040643501911052,[0.4882 0.5118],7,0.1
0.5461487959526289,0.5903045592831627,0.3076934115542087,0.9966482182515264,0.9912606680656171,0.9200913031101213,[0.4893 0.5107],7,1.0
0.5372787473925541,0.5658191629462882,0.352559941357968,0.9971630101899378,0.9925902596684776,0.9597933400608202,[0.4889 0.5111],7,10
0.5379677783494535,0.5622871097063157,0.376832134642122,0.9961228365199146,0.9931670549722242,0.9679286614100121,[0.4835 0.5165],7,15
0.528868541588595,0.5617208409450305,0.33593516460143674,0.9968564477332958,0.9934251112984376,0.9650265572080114,[0.4857 0.5143],7,20
0.5238942863050619,0.5384297705903309,0.39015638387830315,0.9966254886566466,0.9959241337866349,0.9623936991141008,[0.4903 0.5097],7,50
0.5197997406674927,0.5323955002358947,0.40647121040505974,0.9970387645661404,0.9966354299174207,0.9739441733842349,[0.489 0.511],7,100
0.5012197997545946,0.5048737301540885,0.4265473041523166,0.9972160900083861,0.9977915185115286,0.9627906090037754,[0.4981 0.5019],7,500
