Baseline,Param_setting,MAP,MAP_C1,MAP_C2,Avg_Norm_Entropy,Avg_Norm_Entropy_C1,Avg_Norm_Entropy_C2,Avg Conservative Percentage,Avg Liberal Percentage
2,,0.35220091166355905,,,0.9726959506645956,,,0.4334,0.5666
3,,0.6745776255648559,,,0.9676533375770476,,,0.5997,0.4003
4,0.0,0.25229730578103565,,,0.8739930459190549,,,0.3076,0.6924
4,0.0001,0.3396963258536277,,,0.9566225038926564,,,0.3979,0.6021
4,0.001,0.3262464340016522,,,0.9577637964248086,,,0.4021,0.5979
4,0.01,0.2864527348901499,,,0.9219617716873404,,,0.3571,0.6429
4,0.1,0.2379977466633864,,,0.8408533666407061,,,0.2837,0.7163
4,1.0,0.2334273710366624,,,0.8219590712554903,,,0.2702,0.7298
4,10.0,0.2760572864110865,,,0.8615707819490579,,,0.3003,0.6997
4,20.0,0.28687823952434754,,,0.874401848661433,,,0.3109,0.6891
4,50.0,0.2958438520571091,,,0.8840954303997001,,,0.3193,0.6807
4,100.0,0.30007149638906844,,,0.8890567974017388,,,0.3242,0.6758
5,0.001,0.2638582224065573,,,0.8788107657682347,,,0.3135,0.6865
5,0.01,0.3368951070786998,,,0.9683168366043908,,,0.4212,0.5788
5,0.1,0.34808629017543874,,,0.9622133065276108,,,0.4206,0.5794
5,1.0,0.3950862996934108,,,0.9798286756273707,,,0.4607,0.5393
5,10.0,0.4638774263728209,,,0.991054075604998,,,0.5044,0.4956
5,15.0,0.466251342239135,,,0.9914408634934809,,,0.5046,0.4954
5,20.0,0.4767759045772466,,,0.9899955612808052,,,0.5158,0.4842
5,50.0,0.4968192260902204,,,0.9889617734230204,,,0.5243,0.4757
5,100.0,0.5042370461851031,,,0.9884899582758128,,,0.534,0.466
5,500.0,0.5195675087668321,,,0.987815762163454,,,0.532,0.468
6,,0.5874728480835946,0.6809083789265477,0.2505833026901182,0.9956016921625432,0.9738839272360892,0.8943068149223571,0.5164,0.4836
7,0.001,0.587070833357928,0.7068662566018709,0.27236433958206296,0.995229887117414,0.9639829057837238,0.8939344392831069,0.5182,0.4818
7,0.01,0.5946634218445777,0.6645047668018852,0.2668535757824791,0.9966925685874108,0.9839758681724018,0.9031614799494868,0.5118,0.4882
7,0.1,0.5706269426699568,0.6318545459498214,0.2943445996022559,0.9968196432264989,0.9878603348647008,0.9040643501911052,0.5118,0.4882
7,1.0,0.5461487959526289,0.5903045592831627,0.3076934115542087,0.9966482182515264,0.9912606680656172,0.9200913031101212,0.5107,0.4893
7,10.0,0.5372787473925541,0.5658191629462882,0.3525599413579679,0.9971630101899378,0.9925902596684776,0.9597933400608202,0.5111,0.4889
7,15.0,0.5379677783494535,0.5622871097063157,0.376832134642122,0.9961228365199146,0.9931670549722242,0.967928661410012,0.5165,0.4835
7,20.0,0.528868541588595,0.5617208409450305,0.33593516460143674,0.9968564477332958,0.9934251112984376,0.9650265572080114,0.5143,0.4857
7,50.0,0.5238942863050619,0.5384297705903309,0.3901563838783032,0.9966254886566466,0.9959241337866348,0.9623936991141008,0.5097,0.4903
7,100.0,0.5197997406674927,0.5323955002358947,0.4064712104050597,0.9970387645661404,0.9966354299174208,0.9739441733842348,0.511,0.489
7,500.0,0.5012197997545946,0.5048737301540885,0.4265473041523166,0.997216090008386,0.9977915185115286,0.9627906090037754,0.5019,0.4981
