Word,clf_overlap
paso,12
harness,12
brawl,9
goers,9
haunted,9
bother,9
statements,9
capital,9
immoral,9
meant,8
uneasy,8
moderated,8
explanation,7
armored,7
apples,7
pitch,7
constitute,7
soon,7
hilary,7
toast,7
federal,7
tasked,7
nefarious,6
smuggling,6
expects,6
transitioned,6
conference,6
adequately,6
grab,6
truman,6
hearsay,6
trafficked,6
melee,6
translated,6
amid,6
carmen,6
dunn,6
paulo,6
adopting,6
whipped,6
timing,6
eco,6
newsom,6
researcher,6
played,6
qassim,6
calm,6
midterms,6
gamers,5
runaway,5
pumps,5
oligarch,5
agricultural,5
revenue,5
macron,5
depictions,5
ball,5
particularly,5
hazards,5
forgivable,5
seek,5
indispensable,5
juice,5
gm,5
indirectly,5
communist,5
accessed,5
writ,5
creatures,5
curtain,5
senses,5
bryce,5
prioritizing,5
amplify,5
overwhelm,5
hidden,5
censored,5
coca,5
misleading,5
politicians,5
morale,5
drained,5
outsize,5
stretch,5
cast,5
october,5
closed,5
murray,5
suspected,5
heart,5
